date,close
2024-04-01,735.25
2024-04-02,740.0750122070312
2024-04-03,741.1500244140625
2024-04-04,763.7999877929688
2024-04-05,774.7750244140625
2024-04-08,773.2999877929688
2024-04-09,774.2750244140625
2024-04-10,768.1749877929688
2024-04-12,759.4749755859375
2024-04-15,747.3499755859375
2024-04-16,754.625
2024-04-18,747.3499755859375
2024-04-19,765.6500244140625
2024-04-22,756.0999755859375
2024-04-23,753.7999877929688
2024-04-24,755.8499755859375
2024-04-25,755.375
2024-04-26,754.9000244140625
2024-04-29,764.75
2024-04-30,760.0499877929688
2024-05-02,766.125
2024-05-03,759.7999877929688
2024-05-06,761.3250122070312
2024-05-07,753.0750122070312
2024-05-08,741.3250122070312
2024-05-09,723.75
2024-05-10,718.9500122070312
2024-05-13,727.625
2024-05-14,730.4749755859375
2024-05-15,719.25
2024-05-16,730.125
2024-05-17,732.0499877929688
2024-05-21,729.4000244140625
2024-05-22,729.5999755859375
2024-05-23,746.2999877929688
2024-05-24,758.5999755859375
2024-05-27,763.8499755859375
2024-05-28,765.25
2024-05-29,754.1500244140625
2024-05-30,757.4249877929688
2024-05-31,765.7750244140625
2024-06-03,786.0999755859375
2024-06-04,741.5750122070312
2024-06-05,775.9000244140625
2024-06-06,779.8499755859375
2024-06-07,786.6749877929688
2024-06-10,780.6500244140625
2024-06-11,782.4000244140625
2024-06-12,787.0750122070312
2024-06-13,790.375
2024-06-14,798.4500122070312
2024-06-18,803.9000244140625
2024-06-19,828.9249877929688
2024-06-20,834.6749877929688
2024-06-21,832.875
2024-06-24,836.2000122070312
2024-06-25,855.6749877929688
2024-06-26,850.75
2024-06-27,848.0750122070312
2024-06-28,841.9000244140625
2024-07-01,852.5999755859375
2024-07-02,865.2999877929688
2024-07-03,884.3250122070312
2024-07-04,863.5750122070312
2024-07-05,824.0499877929688
2024-07-08,817.6749877929688
2024-07-09,818.25
2024-07-10,813.0499877929688
2024-07-11,810.9500122070312
2024-07-12,811.3499755859375
2024-07-15,811.0499877929688
2024-07-16,809.875
2024-07-18,807.4000244140625
2024-07-19,803.6500244140625
2024-07-22,821.2750244140625
2024-07-23,809.2000122070312
2024-07-24,802.0250244140625
2024-07-25,808.2999877929688
2024-07-26,809.0750122070312
2024-07-29,802.5250244140625
2024-07-30,807.7750244140625
2024-07-31,807.875
2024-08-01,819.4000244140625
2024-08-02,829.5750122070312
2024-08-05,807.875
2024-08-06,800.5999755859375
2024-08-07,811.75
2024-08-08,821.3499755859375
2024-08-09,825.0999755859375
2024-08-12,830.0499877929688
2024-08-13,801.5999755859375
2024-08-14,803.9000244140625
2024-08-16,816.0499877929688
2024-08-19,815.7750244140625
2024-08-20,818.8499755859375
2024-08-21,812.9000244140625
2024-08-22,815.6500244140625
2024-08-23,812.5250244140625
2024-08-26,819.9749755859375
2024-08-27,818.875
2024-08-28,818.5499877929688
2024-08-29,819.2750244140625
2024-08-30,818.4500122070312
2024-09-02,813.4749755859375
2024-09-03,818.6749877929688
2024-09-04,820.9000244140625
2024-09-05,822.7249755859375
2024-09-06,818.4749755859375
2024-09-09,823.25
2024-09-10,825.1749877929688
2024-09-11,821.9500122070312
2024-09-12,833.2999877929688
2024-09-13,832.9749755859375
2024-09-16,835.4749755859375
2024-09-17,834.4000244140625
2024-09-18,847.4000244140625
2024-09-19,854.25
2024-09-20,870.5999755859375
2024-09-23,879.9000244140625
2024-09-24,884.0250244140625
2024-09-25,889.5499877929688
2024-09-26,891.7249755859375
2024-09-27,876.3250122070312
2024-09-30,866.0250244140625
2024-10-01,863.0999755859375
2024-10-03,841.0
2024-10-04,828.8250122070312
2024-10-07,808.9000244140625
2024-10-08,825.5250244140625
2024-10-09,816.5750122070312
