date,close
2024-04-01,1495.449951171875
2024-04-02,1482.8499755859375
2024-04-03,1480.6500244140625
2024-04-04,1486.699951171875
2024-04-05,1479.0999755859375
2024-04-08,1476.699951171875
2024-04-09,1494.8499755859375
2024-04-10,1506.800048828125
2024-04-12,1484.75
2024-04-15,1468.1500244140625
2024-04-16,1414.449951171875
2024-04-18,1419.25
2024-04-19,1411.25
2024-04-22,1432.75
2024-04-23,1442.4000244140625
2024-04-24,1430.75
2024-04-25,1438.449951171875
2024-04-26,1430.25
2024-04-29,1434.75
2024-04-30,1420.550048828125
2024-05-02,1414.449951171875
2024-05-03,1416.300048828125
2024-05-06,1425.9000244140625
2024-05-07,1440.949951171875
2024-05-08,1427.300048828125
2024-05-09,1439.550048828125
2024-05-10,1424.9000244140625
2024-05-13,1423.449951171875
2024-05-14,1424.699951171875
2024-05-15,1419.949951171875
2024-05-16,1453.3499755859375
2024-05-17,1444.300048828125
2024-05-21,1434.1500244140625
2024-05-22,1454.800048828125
2024-05-23,1472.4000244140625
2024-05-24,1465.0999755859375
2024-05-27,1471.3499755859375
2024-05-28,1467.050048828125
2024-05-29,1450.949951171875
2024-05-30,1427.449951171875
2024-05-31,1406.9000244140625
2024-06-03,1405.9000244140625
2024-06-04,1393.6500244140625
2024-06-05,1430.0999755859375
2024-06-06,1472.25
2024-06-07,1533.5999755859375
2024-06-10,1499.75
2024-06-11,1495.75
2024-06-12,1485.199951171875
2024-06-13,1493.949951171875
2024-06-14,1488.9000244140625
2024-06-18,1498.199951171875
2024-06-19,1511.3499755859375
2024-06-20,1515.4000244140625
2024-06-21,1532.699951171875
2024-06-24,1527.1500244140625
2024-06-25,1541.949951171875
2024-06-26,1540.699951171875
2024-06-27,1573.3499755859375
2024-06-28,1566.75
2024-07-01,1590.800048828125
2024-07-02,1621.050048828125
2024-07-03,1627.4000244140625
2024-07-04,1650.6500244140625
2024-07-05,1647.449951171875
2024-07-08,1661.6500244140625
2024-07-09,1657.1500244140625
2024-07-10,1648.25
2024-07-11,1652.699951171875
2024-07-12,1711.75
2024-07-15,1707.050048828125
2024-07-16,1726.050048828125
2024-07-18,1758.050048828125
2024-07-19,1792.949951171875
2024-07-22,1810.8499755859375
2024-07-23,1836.9000244140625
2024-07-24,1833.949951171875
2024-07-25,1824.8499755859375
2024-07-26,1878.9000244140625
2024-07-29,1871.0999755859375
2024-07-30,1877.1500244140625
2024-07-31,1868.25
2024-08-01,1852.5999755859375
2024-08-02,1821.199951171875
2024-08-05,1751.9000244140625
2024-08-06,1751.0999755859375
2024-08-07,1791.6500244140625
2024-08-08,1743.1500244140625
2024-08-09,1770.75
2024-08-12,1797.4000244140625
2024-08-13,1797.449951171875
2024-08-14,1823.25
2024-08-16,1858.949951171875
2024-08-19,1864.800048828125
2024-08-20,1872.199951171875
2024-08-21,1872.699951171875
2024-08-22,1880.25
2024-08-23,1862.0999755859375
2024-08-26,1876.1500244140625
2024-08-27,1900.0999755859375
2024-08-28,1939.0999755859375
2024-08-29,1933.3499755859375
2024-08-30,1943.699951171875
2024-09-02,1964.5
2024-09-03,1941.25
2024-09-04,1922.449951171875
2024-09-05,1933.1500244140625
2024-09-06,1901.8499755859375
