date,close
2024-04-01,1053.0999755859375
2024-04-02,1047.199951171875
2024-04-03,1063.25
2024-04-04,1062.949951171875
2024-04-05,1059.0999755859375
2024-04-08,1076.050048828125
2024-04-09,1080.0
2024-04-10,1087.800048828125
2024-04-12,1073.449951171875
2024-04-15,1057.949951171875
2024-04-16,1051.9000244140625
2024-04-18,1024.0
2024-04-19,1029.0999755859375
2024-04-22,1053.949951171875
2024-04-23,1055.75
2024-04-24,1063.25
2024-04-25,1127.0
2024-04-26,1130.300048828125
2024-04-29,1159.25
2024-04-30,1165.9000244140625
2024-05-02,1149.8499755859375
2024-05-03,1141.5
2024-05-06,1143.6500244140625
2024-05-07,1127.699951171875
2024-05-08,1128.6500244140625
2024-05-09,1115.6500244140625
2024-05-10,1120.0999755859375
2024-05-13,1132.0
2024-05-14,1122.8499755859375
2024-05-15,1128.050048828125
2024-05-16,1139.300048828125
2024-05-17,1141.3499755859375
2024-05-21,1137.6500244140625
2024-05-22,1126.0
2024-05-23,1165.25
2024-05-24,1174.0
2024-05-27,1187.0
2024-05-28,1183.4000244140625
2024-05-29,1159.75
2024-05-30,1167.949951171875
2024-05-31,1162.1500244140625
2024-06-03,1223.9000244140625
2024-06-04,1131.25
2024-06-05,1184.5
2024-06-06,1170.949951171875
2024-06-07,1186.800048828125
2024-06-10,1200.0
2024-06-11,1194.5999755859375
2024-06-12,1187.9000244140625
2024-06-13,1174.6500244140625
2024-06-14,1181.050048828125
2024-06-18,1191.9000244140625
2024-06-19,1226.6500244140625
2024-06-20,1239.5
2024-06-21,1237.449951171875
2024-06-24,1228.0999755859375
2024-06-25,1271.449951171875
2024-06-26,1285.4000244140625
2024-06-27,1288.949951171875
2024-06-28,1265.25
2024-07-01,1261.9000244140625
2024-07-02,1253.4000244140625
2024-07-03,1280.0
2024-07-04,1280.9000244140625
2024-07-05,1287.050048828125
2024-07-08,1287.8499755859375
2024-07-09,1289.4000244140625
2024-07-10,1291.6500244140625
2024-07-11,1296.75
